AI2Bot
Ai2Bot-Dolma
Amazonbot
anthropic-ai
Applebot
Applebot-Extended
Bytespider
CCBot
ChatGPT
Claude-Web
ClaudeBot
cohere-ai
Diffbot
DuckAssistBot
FacebookBot
FacebookBot
FriendlyCrawler
Google-Extended
GoogleOther
GoogleOther-Image
GPTBot
ia_archiver
iaskspider
ICC-Crawler
ImagesiftBot
img2dataset
ISSCyberRiskCrawler
Kangaroo\sBot
Meta-ExternalAgent
Meta-ExternalFetcher
OAI-SearchBot
Omgili
Omgilibot
PanguBot
PerplexityBot
PetalBot
Scrapy
Sidetrade\sindexer\sbot
Timpibot
VelenPublicWebCrawler
Webzio-Extended
YouBot
